,result_name,rmse,mae,relative_rmse,relative_mae,len_scale,n_turns,n_measurements,sensor_noise_ratio,n_inducing_points,Inducing points,Number of inducing points (binned)
0,0.3_random_field_0-3_0.1-20,0.15213427,0.12182307,0.90705234,0.9150427,0.3,3,400,0.1,19,11 - 40,11 - 40
1,0.3_random_field_1-3_0.1-20,0.17161399,0.1355074,0.99798876,0.97893214,0.3,3,400,0.1,19,11 - 40,11 - 40
2,0.3_random_field_2-3_0.1-20,0.13458765,0.10911704,0.95205975,0.9551397,0.3,3,400,0.1,19,11 - 40,11 - 40
3,0.3_random_field_3-3_0.1-20,0.17675982,0.14198631,0.9700476,0.9556465,0.3,3,400,0.1,19,11 - 40,11 - 40
4,0.3_random_field_4-3_0.1-20,0.14286847,0.11381934,0.9323421,0.9290608,0.3,3,400,0.1,19,11 - 40,11 - 40
5,0.3_random_field_0-3_0.1-40,0.14572613,0.117600806,0.8688458,0.88332826,0.3,3,400,0.1,27,11 - 40,11 - 40
6,0.3_random_field_1-3_0.1-40,0.17053667,0.1338054,0.9917238,0.9666365,0.3,3,400,0.1,27,11 - 40,11 - 40
7,0.3_random_field_2-3_0.1-40,0.1334046,0.10814814,0.94369096,0.9466586,0.3,3,400,0.1,27,11 - 40,11 - 40
8,0.3_random_field_3-3_0.1-40,0.16967684,0.13629198,0.93117654,0.9173205,0.3,3,400,0.1,27,11 - 40,11 - 40
9,0.3_random_field_4-3_0.1-40,0.1402256,0.111748375,0.9150951,0.9121564,0.3,3,400,0.1,27,11 - 40,11 - 40
10,0.3_random_field_0-3_0.1-70,0.13566212,0.110221304,0.8088424,0.82789904,0.3,3,400,0.1,62,41 - 110,41 - 110
11,0.3_random_field_1-3_0.1-70,0.16871129,0.13019523,0.9811086,0.94055593,0.3,3,400,0.1,62,41 - 110,41 - 110
12,0.3_random_field_2-3_0.1-70,0.12696037,0.10103876,0.8981051,0.8844277,0.3,3,400,0.1,62,41 - 110,41 - 110
13,0.3_random_field_3-3_0.1-70,0.15996492,0.12743287,0.8778781,0.8576938,0.3,3,400,0.1,62,41 - 110,41 - 110
14,0.3_random_field_4-3_0.1-70,0.1310339,0.103497885,0.8551111,0.844811,0.3,3,400,0.1,62,41 - 110,41 - 110
15,0.3_random_field_0-3_0.1-110,0.13651833,0.11040864,0.81394726,0.8293061,0.3,3,400,0.1,102,41 - 110,41 - 110
16,0.3_random_field_1-3_0.1-110,0.16980112,0.13013205,0.9874463,0.94009954,0.3,3,400,0.1,102,41 - 110,41 - 110
17,0.3_random_field_2-3_0.1-110,0.12525578,0.09880618,0.886047,0.86488515,0.3,3,400,0.1,102,41 - 110,41 - 110
18,0.3_random_field_3-3_0.1-110,0.15786152,0.12510502,0.86633474,0.84202605,0.3,3,400,0.1,102,41 - 110,41 - 110
19,0.3_random_field_4-3_0.1-110,0.124756716,0.09706364,0.814147,0.79229087,0.3,3,400,0.1,102,41 - 110,41 - 110
20,0.3_random_field_0-3_0.1-160,0.13777298,0.11101604,0.8214277,0.8338685,0.3,3,400,0.1,129,111 - 220,111 - 220
21,0.3_random_field_1-3_0.1-160,0.17067647,0.1305324,0.9925368,0.94299173,0.3,3,400,0.1,129,111 - 220,111 - 220
22,0.3_random_field_2-3_0.1-160,0.12528084,0.09864707,0.8862243,0.8634924,0.3,3,400,0.1,129,111 - 220,111 - 220
23,0.3_random_field_3-3_0.1-160,0.15755504,0.12450609,0.8646529,0.83799493,0.3,3,400,0.1,129,111 - 220,111 - 220
24,0.3_random_field_4-3_0.1-160,0.123850726,0.09607346,0.80823463,0.7842085,0.3,3,400,0.1,129,111 - 220,111 - 220
25,0.3_random_field_0-3_0.1-220,0.1397375,0.112076834,0.83314055,0.84183633,0.3,3,400,0.1,178,111 - 220,111 - 220
26,0.3_random_field_1-3_0.1-220,0.17152497,0.13075036,0.99747103,0.9445663,0.3,3,400,0.1,178,111 - 220,111 - 220
27,0.3_random_field_2-3_0.1-220,0.12533402,0.09862109,0.8866005,0.86326504,0.3,3,400,0.1,178,111 - 220,111 - 220
28,0.3_random_field_3-3_0.1-220,0.15781552,0.12411992,0.8660823,0.8353958,0.3,3,400,0.1,178,111 - 220,111 - 220
29,0.3_random_field_4-3_0.1-220,0.12309358,0.09533046,0.8032936,0.77814364,0.3,3,400,0.1,178,111 - 220,111 - 220
